GameDate,OffenseTeam,Dome
8/11/15,NYJ,
8/11/15,NE,
8/11/15,CAR,
8/11/15,TB,
8/11/15,IND,1
8/11/15,SF,
8/11/15,NO,1
8/11/15,PIT,
9/11/15,SD,
12/11/15,NYJ,
3/12/15,DET,1
6/12/15,TB,
6/12/15,CLE,
6/12/15,NO,1
6/12/15,STL,1
6/12/15,TEN,
6/12/15,MIN,
6/12/15,OAK,
6/12/15,MIA,
6/12/15,NYG,
6/12/15,SD,
6/12/15,PIT,
6/12/15,BUF,
6/12/15,NE,
6/12/15,CHI,
7/12/15,WAS,
10/12/15,ARI,1
3/1/16,CLE,
3/1/16,ATL,1
3/1/16,SF,
3/1/16,CHI,
3/1/16,CAR,
3/1/16,DEN,
3/1/16,NYG,
3/1/16,MIA,
3/1/16,HOU,1
3/1/16,DAL,1
3/1/16,BUF,
3/1/16,GB,
3/1/16,IND,1
3/1/16,CIN,
3/1/16,KC,
3/1/16,ARI,1
9/1/16,CIN,
9/1/16,HOU,1
10/1/16,MIN,
10/1/16,WAS,
7/2/16,SB16,
