GameDate,location,team,city,state,OffenseTeam,year,month,day,snow,rain
23/11/14,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2014,11,23,0,0
23/11/14,Houston Texans,Houston Texans,Houston,TX,HOU,2014,11,23,0,1
23/11/14,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2014,11,23,0,1
23/11/14,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2014,11,23,1,1
24/11/14,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2014,11,24,0,0
24/11/14,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2014,11,24,0,1
27/11/14,Detroit Lions,Detroit Lions,Detroit,MI,DET,2014,11,27,0,0
27/11/14,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2014,11,27,0,0
27/11/14,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2014,11,27,0,0
30/11/14,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2014,11,30,0,0
30/11/14,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2014,11,30,0,1
30/11/14,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville,FL,JAC,2014,11,30,0,0
