GameDate,location,team,city,state,OffenseTeam,year,month,day,rain,snow
2015-01-10,New England Patriots,New England Patriots,Foxboro,MA,NE,2015,01,10,0,0
2015-01-10,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2015,01,10,1,0
2015-01-11,Denver Broncos,Denver Broncos,Denver,CO,DEN,2015,01,11,0,1
2015-01-11,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2015,01,11,0,0
2015-01-18,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2015,01,18,1,0
2015-01-18,New England Patriots,New England Patriots,Foxboro,MA,NE,2015,01,18,1,0
2015-02-01,Superbowl 2015,Seattle Seahawks,Glendale,AZ,SB15,2015,02,01,0,0
2015-09-10,New England Patriots,New England Patriots,Foxboro,MA,NE,2015,09,10,1,0
2015-10-01,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015,10,01,0,0
2015-10-04,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2015,10,04,0,0
2015-10-04,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2015,10,04,0,0
2015-10-04,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015,10,04,1,0
2015-10-04,Denver Broncos,Denver Broncos,Denver,CO,DEN,2015,10,04,0,0
2015-10-04,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2015,10,04,0,0
2015-10-04,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2015,10,04,1,0
2015-10-04,Miami Dolphins,Miami Dolphins,Miami,FL,MIA,2015,10,04,0,0
2015-10-04,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2015,10,04,0,0
2015-10-04,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015,10,04,0,0
2015-10-04,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015,10,04,0,0
2015-10-04,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2015,10,04,0,0
2015-10-04,Arizona Cardinals,Arizona Cardinals,Glendale,AZ,ARI,2015,10,04,0,0
2015-10-04,Washington Redskins,Washington Redskins,Landover,MD,WAS,2015,10,04,0,0
2015-10-05,Seattle Seahawks,Seattle Seahawks,Seattle,WA,SEA,2015,10,05,0,0
2015-10-08,Houston Texans,Houston Texans,Houston,TX,HOU,2015,10,08,0,0
2015-10-11,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2015,10,11,0,0
2015-10-11,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2015,10,11,0,0
2015-10-11,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2015,10,11,0,0
2015-10-11,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2015,10,11,0,0
